Severity,Mean,Std,Accuracy
1,0.9680732437372208,0.09483766347790862,0.996
2,0.9233148103654385,0.13840919561501736,0.994
3,0.8810121137797833,0.16230022033606242,0.986
4,0.8344295131117105,0.19170055691499072,0.978
5,0.7847835978902876,0.21211913056759849,0.966
6,0.7348413451313972,0.23130721046334288,0.956
7,0.6784956535492093,0.2496890654482087,0.948
8,0.6306492518571322,0.25474201715263156,0.93
9,0.5774177693594247,0.26956121202024913,0.9
10,0.5346952803526074,0.2771809264891513,0.908
11,0.48841946248500606,0.27577710951851336,0.858
12,0.44933470415719784,0.2829997798562425,0.836
13,0.42671698554635806,0.27265882829490545,0.818
14,0.39521446816041134,0.28011614844655475,0.794
15,0.3834918981909286,0.285405182460659,0.792
16,0.38540463026752697,0.27927125480366666,0.774
17,0.37240223634592257,0.27522707886134895,0.772
18,0.35001521854102613,0.27142458090888055,0.774
19,0.3008550452444069,0.26848126022366225,0.764
20,0.25170634633797456,0.2765675972903623,0.698
21,0.20449961285153404,0.25360592734891824,0.652
22,0.14502256150869652,0.2505795883646552,0.634
23,0.0711769495679764,0.25051521756632006,0.586
24,0.020004033495570183,0.24315422402794623,0.574
25,-0.05401888000452891,0.23518634530666782,0.562
26,-0.12705932757351548,0.2446440222202033,0.53
27,-0.2018881001456175,0.2241325203375251,0.534
28,-0.2660617088605068,0.20709190395359103,0.542
29,-0.3407361962213181,0.19482706323849164,0.54
30,-0.39283658382692377,0.17648795256670283,0.556
