Severity,Mean,Std,Accuracy
1,0.9831563254594803,0.054784287420125304,1.0
2,0.9413795179128647,0.12293671603040003,0.988
3,0.8971649869903922,0.15685617219110207,0.988
4,0.8514702613316476,0.18586303821844813,0.986
5,0.8030900380620732,0.2101669847431559,0.966
6,0.7579714532527141,0.23034255715411017,0.96
7,0.6946589303314685,0.25471584468023756,0.94
8,0.6437014070954173,0.2717723481615927,0.928
9,0.5847769163583288,0.28592237225015843,0.908
10,0.5312213450120762,0.29244278547715613,0.884
11,0.47635547046223653,0.3027808788791936,0.866
12,0.4298490476942388,0.3038319462159361,0.836
13,0.3885643843235448,0.3048788040466974,0.808
14,0.3653880447698757,0.3049965532911912,0.814
15,0.34903941570129243,0.3076227150837491,0.784
16,0.34449989043391543,0.3068649664793202,0.784
17,0.3393931247710716,0.3023169150960183,0.79
18,0.31749627279816195,0.3061894065981642,0.784
19,0.26845151473638545,0.293853750980636,0.766
20,0.21651561932708135,0.29114883371275846,0.686
21,0.12853947316179984,0.2905697348469294,0.664
22,0.05252187508560019,0.2825961107431363,0.612
23,-0.04150658045732416,0.27564212783339215,0.582
24,-0.12361462294124066,0.26194080623247906,0.568
25,-0.2224313105213223,0.240838836122885,0.548
26,-0.29974935040279527,0.22626595837058602,0.534
27,-0.37569951472058893,0.20389957524513072,0.518
28,-0.4425434930855408,0.18573547361272796,0.518
29,-0.4972264711000025,0.16037722679627459,0.526
30,-0.5384647589623928,0.14200403155568217,0.552
