Severity,Mean,Std,Accuracy
1,0.980755221247673,0.05655332223843923,1.0
2,0.9388114536404609,0.11701836720956246,0.994
3,0.8989509105905891,0.15397181445294264,0.986
4,0.8525265561677515,0.18350229200652815,0.978
5,0.7967505225781352,0.21381821357937283,0.968
6,0.7489628454325721,0.2352199236631285,0.962
7,0.6855975724644959,0.2584564766298762,0.946
8,0.6287885176001582,0.27791872043973287,0.932
9,0.5689927591644227,0.29383196747301293,0.908
10,0.512222709356225,0.3085718534661007,0.884
11,0.4518409823507536,0.31510254249122294,0.872
12,0.4109438191577792,0.31690451376286655,0.842
13,0.3615402618581429,0.3265765323890108,0.806
14,0.3270522257124248,0.3186283059034764,0.816
15,0.30454451586728826,0.33077309406628497,0.79
16,0.3022280847870861,0.3270620897990872,0.802
17,0.29632089993252886,0.3269270143688425,0.77
18,0.26711189339030533,0.3251014369493179,0.774
19,0.21954712342331187,0.3244534875546124,0.752
20,0.1525003100556205,0.3225533388499777,0.71
21,0.07803468414014787,0.3147408836002501,0.664
22,-0.00642619548359653,0.3124250913775653,0.612
23,-0.10749977406545076,0.3055326109833141,0.582
24,-0.19942024024299462,0.28284375876760964,0.552
25,-0.30027599761984314,0.26500198786269136,0.55
26,-0.38364352644700556,0.25453328382473467,0.536
27,-0.4560543285876047,0.22387162054415644,0.52
28,-0.529166033199057,0.20041552767726944,0.538
29,-0.5916820382084698,0.16487943962536766,0.546
30,-0.633779185116291,0.13686538269991144,0.54
