Severity,Mean,Std,Accuracy,Time Taken
255.0,0.9999387098550796,0.0006681307642578296,0.996,29.986974477767944
246.5,1.0059472990036011,0.05286579997838577,0.994,13.434043645858765
238.0,1.0091372896432877,0.09156084277435371,0.982,12.43502426147461
229.5,1.2481104901731015,5.359613802622692,0.974,15.958589315414429
221.0,1.0290242859805003,0.2239669687142495,0.972,14.55474328994751
212.5,0.8931920680999755,3.5533434877658605,0.966,17.85232448577881
204.0,1.2172040418982506,1.9190317737738207,0.94,11.879667282104492
195.5,1.0190303721874951,1.3390218796978188,0.926,19.921151399612427
187.0,1.2164458528757096,3.329233920983741,0.908,26.15169095993042
178.5,1.1851802239767275,2.42177755924619,0.902,9.569545984268188
170.0,1.2833413574434818,2.2320973490281264,0.878,13.587926149368286
161.5,0.5395961123555899,7.352393789641993,0.842,13.601461172103882
153.0,1.275970056656748,7.300595779953844,0.802,10.783293962478638
144.5,0.9078897626399994,3.3620145537214574,0.79,14.446686744689941
136.0,0.9323292225599289,1.8743550329331755,0.794,64.89650368690491
127.5,-0.3109845380652696,31.64286317545546,0.786,37.966838359832764
119.0,0.8766771471747197,1.6913788643250058,0.796,31.42179226875305
110.5,0.8879887078180909,3.1716768464078005,0.772,33.257909536361694
102.0,0.9878629161790013,2.2275493692059567,0.764,8.988399505615234
93.5,0.7239288495071232,6.091320202291749,0.696,17.045125007629395
85.0,0.5197436173697934,6.432267683284112,0.658,14.98089861869812
76.5,0.9911657962407917,2.8591166503579615,0.608,9.33809494972229
68.0,0.704423008210957,5.7712363842310985,0.574,12.277405023574829
59.5,0.8254347650157288,1.0385585435593059,0.56,12.403113603591919
51.0,0.7004467379292473,3.7056945013069096,0.554,17.231250762939453
42.5,0.8172618838697672,0.7039021333367933,0.552,30.7447829246521
34.0,0.8369634535610676,0.7872757173255558,0.522,14.824737787246704
25.5,0.8389840420782566,0.12501897782050134,0.524,26.166613578796387
17.0,0.8417943081259728,0.5052158368543478,0.522,12.186458826065063
8.5,0.8109320919513703,0.36588898322962954,0.544,9.93356966972351
0.0,0.7684448230862617,0.0968222048170936,0.554,9.15966248512268
255.0,0.9999291654825211,0.0004971963684143224,0.998,21.528966665267944
246.5,1.0042235683202743,0.028935923957653018,0.994,11.03621244430542
238.0,1.0248783954381944,0.29285623135251687,0.99,10.025363206863403
229.5,1.0059524696171285,0.14989912771964212,0.976,29.93162512779236
221.0,1.0267242103517056,0.14682436751657627,0.964,15.488574981689453
212.5,1.010665855422616,0.525363170175045,0.956,11.438503980636597
204.0,1.034700492616743,0.6221445540713813,0.932,19.011746644973755
195.5,1.084837148901075,0.6745573249321322,0.926,14.519973993301392
187.0,0.9887033639028668,1.1847457665834635,0.9,9.850524187088013
178.5,-1.9829956815689802,67.67745507401077,0.886,18.817103385925293
170.0,0.3587531583942473,13.815544400831778,0.866,17.3440043926239
161.5,0.9032297556102276,2.2422880369844007,0.83,44.437660455703735
153.0,1.0646649058731272,2.610655516902767,0.814,16.133625268936157
144.5,1.0323010293468833,3.4282556091217242,0.808,23.05664300918579
136.0,-0.0880644846977666,16.133131122654333,0.79,16.53222370147705
127.5,0.9726842868905514,1.9014187511771623,0.792,2.646721601486206
119.0,0.5712099157199264,12.106745094936048,0.778,2.1389822959899902
110.5,0.6653102692933753,17.907227321944465,0.776,2.1192610263824463
102.0,1.4075425156138373,5.743488012668709,0.744,3.1567561626434326
93.5,2.276799398664385,29.147116802098544,0.692,2.649505376815796
85.0,-1.0567627903341636,44.88240901329041,0.67,3.605546236038208
76.5,1.3417977656228468,8.371348761001475,0.618,2.4135396480560303
68.0,0.838348151493352,0.9128458773060919,0.606,3.051028251647949
59.5,0.7616015427261591,1.8961505275654338,0.566,3.4042301177978516
51.0,0.33796301448345184,10.135914581209445,0.548,4.606673002243042
42.5,0.8612692750748246,0.632900698502709,0.524,3.552213668823242
34.0,0.7589282446652651,2.9012956382748287,0.504,3.6922576427459717
25.5,0.849642576418817,0.3976386163658181,0.532,3.760277032852173
17.0,0.8228073611855506,0.1137095802206412,0.542,2.9260172843933105
8.5,0.797054332613945,0.09209188143949264,0.542,3.965303897857666
0.0,0.7658372378349304,0.09837613918623324,0.54,3.724761486053467
