Severity,Mean,Std,Accuracy
1,0.9330846071243286,0.13660961389541626,1.0
2,0.8422592878341675,0.18503598868846893,0.994
3,0.7690033316612244,0.19121013581752777,0.988
4,0.7145844101905823,0.18404974043369293,0.986
5,0.6672658920288086,0.173158660531044,0.974
6,0.6327088475227356,0.15921051800251007,0.964
7,0.5922078490257263,0.12991827726364136,0.944
8,0.5668591260910034,0.1116708517074585,0.944
9,0.5427647829055786,0.08876387029886246,0.916
10,0.5288020372390747,0.08059336245059967,0.904
11,0.5168636441230774,0.06753311306238174,0.868
12,0.5101510882377625,0.06382855772972107,0.84
13,0.5058591961860657,0.05934803560376167,0.826
14,0.5055327415466309,0.059338703751564026,0.806
15,0.5055327415466309,0.059338703751564026,0.798
16,0.5055327415466309,0.059338703751564026,0.792
17,0.5055327415466309,0.059338703751564026,0.786
18,0.5055327415466309,0.059338703751564026,0.782
19,0.50431889295578,0.05420742556452751,0.762
20,0.5007175803184509,0.045790091156959534,0.71
21,0.49367406964302063,0.038816314190626144,0.678
22,0.4864557385444641,0.03477362543344498,0.624
23,0.4783361256122589,0.025014350190758705,0.592
24,0.472406804561615,0.022953644394874573,0.58
25,0.4666037857532501,0.019924411550164223,0.562
26,0.4622645676136017,0.01757536083459854,0.546
27,0.4584120810031891,0.014940564520657063,0.51
28,0.45590153336524963,0.013564758002758026,0.516
29,0.4535367786884308,0.012709977105259895,0.506
30,0.45205971598625183,0.012294843792915344,0.54
