Severity,Mean,Std,Accuracy
1,0.9898151333857458,0.033251378059642005,0.998
2,0.9694492896676014,0.06457274411565406,0.992
3,0.9466372119485368,0.0827190624794351,0.986
4,0.9277473936038918,0.09161248094803444,0.972
5,0.9018378564080932,0.10327088169227677,0.964
6,0.8761681535717889,0.11615741647808375,0.964
7,0.8478344246319803,0.12477936468649364,0.94
8,0.8218507987902179,0.1331892280251787,0.922
9,0.7963766155097524,0.1382165246503634,0.912
10,0.7703790029445028,0.1418610561646812,0.892
11,0.746706689819768,0.1424652132855755,0.86
12,0.7234175444548043,0.14713562803467897,0.83
13,0.707357962897744,0.14753976027810556,0.826
14,0.6958591697651362,0.1444112695334782,0.794
15,0.6869889655195689,0.14511854632952853,0.794
16,0.688559843777196,0.14553183227906477,0.782
17,0.6862767899243297,0.14292293787322205,0.776
18,0.672546767743098,0.1450502282126953,0.762
19,0.6511139211118905,0.14149330872144264,0.756
20,0.6267586021621818,0.13871524148407888,0.688
21,0.5925880635426228,0.13516433667303676,0.66
22,0.556568924687641,0.1335792385538742,0.628
23,0.5130759674917783,0.12842145466250704,0.578
24,0.47200868436960525,0.1231878596900753,0.544
25,0.4316335018798894,0.11415651045902336,0.548
26,0.3913959866810178,0.1075330231240471,0.554
27,0.3531984335361916,0.09880160985180272,0.514
28,0.31895052650335276,0.09000202223230439,0.532
29,0.2896508458026823,0.07916204605400466,0.524
30,0.27140512759723745,0.07085429478333788,0.558
