Severity,Mean,Std,Accuracy,Time Taken
255.0,0.968563943862915,0.09086805077233528,0.998,1.5483179092407227
246.5,0.9220882352925837,0.1413144661246621,0.992,1.27170991897583
238.0,0.8783325211107731,0.17020222463624218,0.98,1.2658159732818604
229.5,0.833970148216933,0.1916173808727647,0.98,1.2789762020111084
221.0,0.7834350796937942,0.21180032428032083,0.964,1.269547700881958
212.5,0.738436184075661,0.2296142770663223,0.97,1.2895679473876953
204.0,0.6789012789428234,0.24808025556506982,0.946,1.2780532836914062
195.5,0.6280253964164294,0.2580531536663834,0.928,1.270697832107544
187.0,0.5761230812747963,0.2667049558852032,0.9,1.2576305866241455
178.5,0.5315937794435304,0.2736911868826014,0.886,1.2784714698791504
170.0,0.4848827670526225,0.2782595304476769,0.886,1.2749013900756836
161.5,0.45457366761844603,0.28003417878912884,0.854,1.2767460346221924
153.0,0.4156362770488486,0.2753451130334973,0.812,1.2644412517547607
144.5,0.40471093875169756,0.2747591865841103,0.792,1.2707240581512451
136.0,0.38560449141217396,0.2807561445711262,0.79,1.2719647884368896
127.5,0.3828077541855164,0.2879314024948399,0.794,1.2721939086914062
119.0,0.3759493013294414,0.2777191474569055,0.786,1.2724077701568604
110.5,0.3465250809941208,0.27554444812403744,0.766,1.40667724609375
102.0,0.3087819636249915,0.2652216749099346,0.736,1.2890398502349854
93.5,0.25229398579872214,0.26246263189095026,0.71,1.2909622192382812
85.0,0.19913728000405537,0.256748845553266,0.662,1.2859485149383545
76.5,0.14330707464774606,0.25627257469553694,0.616,1.2884941101074219
68.0,0.0762646593360405,0.24841654844866345,0.568,1.286318302154541
59.5,0.012776762439054437,0.24745977916874756,0.574,1.2821118831634521
51.0,-0.050967419416527264,0.24111060218269328,0.54,1.2793517112731934
42.5,-0.11817747997387779,0.23400329710003503,0.528,1.2754297256469727
34.0,-0.20036093939615968,0.23316446128593488,0.526,1.2737925052642822
25.5,-0.2710265616541728,0.21283789414792897,0.558,1.2809627056121826
17.0,-0.344436994086951,0.19619014946179872,0.53,1.262810230255127
8.5,-0.3924568222891539,0.18722983311300906,0.564,1.2611582279205322
0.0,-0.9998248698711395,0.00241804939866923,0.554,1.2810354232788086
255.0,0.9678291606009006,0.0927083653014908,0.998,1.2649683952331543
246.5,0.9227936991415918,0.13984280515371023,0.992,1.2813563346862793
238.0,0.8790614311620593,0.1693353248444874,0.984,1.2723326683044434
229.5,0.8342328638508916,0.1924097112562255,0.97,1.3459463119506836
221.0,0.7828474030084908,0.21337922286305294,0.968,1.2857203483581543
212.5,0.7397894434593618,0.22877622532638545,0.96,1.1770110130310059
204.0,0.6802044754140079,0.2517707507296336,0.942,1.1990525722503662
195.5,0.6322932947883383,0.25746441481049726,0.928,1.2126398086547852
187.0,0.5806026944220066,0.26359104814880685,0.91,1.1729967594146729
178.5,0.5387238816716708,0.2695062510207946,0.9,1.2267751693725586
170.0,0.48593808643473313,0.28001324168006125,0.882,1.2358613014221191
161.5,0.4501116547731217,0.2783838974665949,0.824,1.2306044101715088
153.0,0.4272440808567917,0.26826896029657316,0.824,1.2272803783416748
144.5,0.40146597180748356,0.27145982316845685,0.804,1.2210822105407715
136.0,0.38195774507627356,0.28766070858096976,0.786,1.2354040145874023
127.5,0.3822726802446414,0.28599064846928274,0.78,1.2180180549621582
119.0,0.37064358324091884,0.2837850176949223,0.784,1.2302119731903076
110.5,0.3466646021562628,0.28582784596738037,0.768,1.2292695045471191
102.0,0.3075244750927668,0.26970357375619236,0.752,1.2280676364898682
93.5,0.2538245523597579,0.2660109817769539,0.71,1.218846082687378
85.0,0.2004703508313978,0.26005905202294405,0.666,1.2249963283538818
76.5,0.14674189364371704,0.2476358407208055,0.618,1.2171292304992676
68.0,0.08170560832810589,0.2521326118625361,0.574,1.2237796783447266
59.5,0.021186473742185626,0.24317947964555045,0.57,1.2139225006103516
51.0,-0.047613035723334175,0.24084749270454925,0.528,1.173600435256958
42.5,-0.12111113779764855,0.23900510253982815,0.536,1.1831691265106201
34.0,-0.20794520305329933,0.2346207861782105,0.514,1.2467925548553467
25.5,-0.2676883882151451,0.21432443550934932,0.538,1.1750564575195312
17.0,-0.34337205432821066,0.18664578366976653,0.552,1.199061393737793
8.5,-0.3863618798330426,0.17457388819964498,0.572,1.2135868072509766
0.0,-0.999927734375,0.000980832009768488,0.552,1.2072868347167969
