Severity,Mean,Std,Accuracy
1,0.9642398362317317,0.07227613630024286,0.975
2,0.9412900213599512,0.08780162062608372,0.944
3,0.9188871750434371,0.10074275130930395,0.923
4,0.8919963494990601,0.11429580204592564,0.901
5,0.8670496668245148,0.12412485158232692,0.88
6,0.8370442472422822,0.1347714924704749,0.849
7,0.8098575307283856,0.14266176861824753,0.801
8,0.7795765802138459,0.1491425444167153,0.804
9,0.7528929327625548,0.15273919905844835,0.769
10,0.7251201795399937,0.15551708149900062,0.757
11,0.7023278627311902,0.15698126958788727,0.744
12,0.680724886504332,0.15785982206810906,0.744
13,0.667161668074914,0.15773565198020376,0.758
14,0.6600555117593254,0.15715916529199891,0.765
15,0.6596394815774623,0.15692405418444413,0.77
16,0.6558984484455284,0.15664061925712677,0.747
17,0.6436875477580939,0.15544752387925237,0.732
18,0.6197144693569805,0.15348890849169305,0.698
19,0.5907588416441096,0.151498496556928,0.676
20,0.5515413370441913,0.1481517938690686,0.628
21,0.5119626780404266,0.14449208876999542,0.611
22,0.46444050289859357,0.13990959720818627,0.583
23,0.42109808313923,0.13489390395777784,0.554
24,0.3724765404349194,0.12792813162812663,0.528
25,0.33023091611621225,0.12044369399538825,0.53
26,0.28628641550011963,0.11012596044448973,0.523
27,0.2517428952970685,0.0999563925742292,0.541
28,0.21877725933641978,0.08758119482181183,0.541
29,0.19684255045991153,0.07711619050833564,0.547
