Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.17095364527404308,0.02153515407618937,0.998
3,0.138235243588686,0.01978567595187195,0.998
4,0.1234147377461195,0.018559263861573732,1.0
5,0.1137960973829031,0.01811729830094189,1.0
6,0.10753006935864687,0.017370565252104748,0.998
7,0.10180519113689661,0.01699537974869069,0.996
8,0.09739818235486745,0.01641161492386157,0.99
9,0.09316122914105654,0.016328793471580973,0.994
10,0.09068374275416136,0.01594398056075426,0.984
11,0.086903943605721,0.01597873163154528,0.986
12,0.08488913294672966,0.016487492103766755,0.972
13,0.08183241539448499,0.01549527940889752,0.958
14,0.079737473256886,0.015447443728780381,0.938
15,0.07725546473264694,0.015193732518366622,0.918
16,0.07546834389120341,0.015439218108579372,0.874
17,0.07199136580526828,0.015032359508398393,0.862
18,0.06961892588064074,0.014985292377055317,0.82
19,0.06767645112797618,0.01597293456038151,0.798
20,0.06572169790416955,0.01554519156783422,0.744
21,0.06348303492367267,0.016009917046774954,0.714
22,0.06191966281179339,0.015150276980208741,0.66
23,0.05988478229008615,0.01579077868437262,0.634
24,0.05747814875096083,0.017923673273853493,0.578
25,0.05450342544028536,0.015993636031807226,0.518
26,0.052538627548201475,0.020017908391038047,0.424
27,0.05010974923678441,0.019150373196077704,0.372
28,-inf,nan,0.32
29,-inf,nan,0.23
30,-inf,nan,0.178
