Severity,Mean,Std,Accuracy
1,0.99994921875,0.001008950641689194,1.0
2,0.28771922305598857,0.13862138142795902,1.0
3,0.14954919895742932,0.14809500066147152,1.0
4,0.19812560347281397,0.10862592662080359,0.998
5,0.1724564165044576,0.09305980125640771,1.0
6,0.15183345819404348,0.0859777727992534,0.996
7,0.14040334791725037,0.07949287862806906,0.998
8,0.12955434630031232,0.07406270746890567,0.992
9,0.12474593453668058,0.07110921048319324,0.996
10,0.11097649818504579,0.0642650326093644,0.99
11,0.1022948429157259,0.06142835720988572,0.982
12,0.09528392616158816,0.05838902983877526,0.972
13,0.09073440627264791,0.054445478609251814,0.946
14,0.08514404725923669,0.05361968119283856,0.96
15,0.07742683256068267,0.04957531320690763,0.908
16,0.07464209715934703,0.04741885744379111,0.924
17,0.06576437250140589,0.04289847275951726,0.856
18,0.05843837032317606,0.03878626484686584,0.822
19,0.05519620828295592,0.03807585856302513,0.816
20,0.049645292983928814,0.037382637161238186,0.778
21,0.04182658474934579,0.03539869221912016,0.722
22,0.03707347265229328,0.028975863345408644,0.674
23,0.03315380172883306,0.030508075026269815,0.632
24,0.029058054173692654,0.027116269139582285,0.57
25,0.021595137603733747,0.023211588317460813,0.548
26,0.018191671912922175,0.019947580863483527,0.43
27,0.02214274032371759,0.033728437070729006,0.358
28,-0.0019150053525809198,0.07267636850052685,0.308
29,-0.000482799864917979,0.07824907303668749,0.236
30,0.003733949583764726,0.06205295005483751,0.216
