Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.525689722886148,0.12435438057946073,1.0
3,0.19849837643282797,0.13432080499696225,1.0
4,0.10912327961409787,0.10704360282606315,0.998
5,0.07411035540655854,0.08675663933220742,1.0
6,0.055332576439938455,0.07179670460255316,1.0
7,0.04246128542523691,0.05976549633708015,0.998
8,0.03317131347669057,0.04721068839186709,0.99
9,0.026454353392415964,0.038221098812503636,0.984
10,0.020892855701232768,0.030884081533364444,0.986
11,0.01830739303317598,0.02685501998065266,0.982
12,0.013931750601120197,0.021734590618787616,0.976
13,0.011500373511009741,0.01664184256162933,0.964
14,0.00888665945926375,0.014471220439384343,0.942
15,0.007444297461782671,0.012429816777691803,0.94
16,0.006341503615607308,0.010397100384126171,0.904
17,0.004402743174320824,0.007618825307105716,0.856
18,0.003832397369292297,0.005969193295872982,0.824
19,0.0026526457982850387,0.004064759136276465,0.794
20,0.002211421090566512,0.0037738139626234944,0.768
21,0.0015494285282335108,0.002536950217695658,0.766
22,0.0010240979752206322,0.0016717175081439213,0.676
23,0.0006442446585710598,0.0016014229942684728,0.614
24,0.0005081152070149598,0.0010848445443834313,0.572
25,0.00023020018657073763,0.0005362046247138128,0.49
26,0.00015020301112730016,0.0004674651695352741,0.444
27,0.00010840002011190938,0.0005648645112318067,0.384
28,9.851448966095015e-05,0.0008601381780946708,0.332
29,3.475735096317842e-05,0.000415084293017035,0.242
30,4.778829404884382e-05,0.00045128641656123214,0.2
