Severity,Mean,Std,Accuracy
1,0.9986505428552628,0.008792870708296407,1.0
2,0.6929754801392555,0.09026048077489353,1.0
3,0.37194681191165,0.1533860305289269,0.998
4,0.24588170035992515,0.15867345660730967,0.998
5,0.18347670079860837,0.15304278081630984,1.0
6,0.14838279516062175,0.14215531606512188,0.998
7,0.12266166056800284,0.1278201991226627,0.994
8,0.10816408982142457,0.11554101494512263,0.996
9,0.0917144420540426,0.10303473178050224,0.984
10,0.08010927642276511,0.09673418199604064,0.986
11,0.06681274230622011,0.08909254823677662,0.976
12,0.05953384215501137,0.08082711314032469,0.974
13,0.05252426209699479,0.07433851494719758,0.96
14,0.04668737018789398,0.06789999189308263,0.954
15,0.03803119159422931,0.05978161897456948,0.938
16,0.03530222066087299,0.056417681430039716,0.904
17,0.028214238296844996,0.05082777888124365,0.86
18,0.023341264787857655,0.04670118613680347,0.826
19,0.01742706484973314,0.04114197639580772,0.8
20,0.015215270113912993,0.03597189523425473,0.764
21,0.010550604295014636,0.03130839649371335,0.706
22,0.0073614464887941725,0.0282765404590881,0.676
23,0.0035996677779003223,0.02204406175403019,0.598
24,0.003394965113744547,0.018540943888090643,0.576
25,0.0012365679642480246,0.013656640141642338,0.516
26,-0.000493631807359236,0.012409863962063946,0.458
27,-0.0020275730303364846,0.008547700079526568,0.384
28,-0.001975123712277096,0.0056140698398298786,0.316
29,-0.0005747808086864197,0.0013818404987632719,0.252
30,-6.848468329378043e-05,0.0001360856885044909,0.182
