Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.1663020032942295,0.022433936514222198,1.0
3,0.13219651271402835,0.020564804624270582,0.998
4,0.11707043951749802,0.0191589178395863,1.0
5,0.10702736601233483,0.01912597343015224,1.0
6,0.10100119320303201,0.019180923750993704,0.998
7,0.09631313975900412,0.01920834472716684,0.984
8,0.09189475091546774,0.018229012986075117,0.984
9,0.08808936388045549,0.01837037615898093,0.978
10,0.0853291747495532,0.018319563541036882,0.99
11,0.08322534067183733,0.017802031759008772,0.968
12,0.07983123433589935,0.0178520399228949,0.928
13,0.07799428450316191,0.017100466211179156,0.886
14,0.07570173293352127,0.017041321239195866,0.884
15,0.07340536474436521,0.016753947140350358,0.844
16,0.07148051726073026,0.016779436353511163,0.798
17,0.06699897354841232,0.016027992159129773,0.702
18,0.06544829801656306,0.01719427914673113,0.632
19,0.0634480010829866,0.015839482685079252,0.628
20,0.06114887602627277,0.016445191949133554,0.56
21,0.05811680580908433,0.019881828268818267,0.464
22,0.055321512756869196,0.019869145657312005,0.408
23,0.054045878124074076,0.019078559859426022,0.344
24,0.050119455979438496,0.020422127286594212,0.324
25,0.049388681014919715,0.022530951624496115,0.29
26,0.04539194771449547,0.02344025114443054,0.27
27,0.04201375582482433,0.02405412844324008,0.204
28,-inf,nan,0.17
29,-inf,nan,0.15
30,-inf,nan,0.166
