Severity,Mean,Std,Accuracy
1,0.9998776041269303,0.0014061577242519357,1.0
2,0.24525468496738176,0.13625607036444556,0.998
3,0.07159499393776059,0.11650815170016367,0.998
4,0.16052304105606163,0.07938037522160953,1.0
5,0.13434351395757405,0.07974752626489857,0.996
6,0.12223688440327532,0.07091849397613413,0.998
7,0.11676990700978786,0.0653204855454003,0.994
8,0.10855754442326725,0.06421458408975436,0.978
9,0.1046217920249328,0.06158580867405308,0.986
10,0.09236478967522271,0.06092050257708483,0.964
11,0.08992811022314709,0.060940717654779666,0.964
12,0.08435030875488883,0.0553777674074213,0.932
13,0.07875862427265383,0.051826700393391316,0.934
14,0.07349364563799463,0.05209191604830097,0.87
15,0.07244453617802356,0.04662566679538559,0.83
16,0.06522198100574314,0.0447095425921872,0.788
17,0.05692044546914985,0.042626448290222566,0.722
18,0.05249114088708302,0.040182353651115,0.65
19,0.04879023759379424,0.03845963146528407,0.614
20,0.04450357452168828,0.03875807756870641,0.564
21,0.03942316437212139,0.035370404370345276,0.486
22,0.03475274286003696,0.03171396688344798,0.408
23,0.030844065429468173,0.030274643901129134,0.38
24,0.02641482820810961,0.028522660081243052,0.334
25,0.020297422481511604,0.02823474048637208,0.292
26,0.014405569150243536,0.02656047284994641,0.236
27,0.025799514128207194,0.03878496173690188,0.222
28,-0.0043233301451982694,0.07947560011574005,0.186
29,0.00550993379575084,0.0713528828602149,0.18
30,0.0022302152377023958,0.06586123748294981,0.138
