Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.47353516068884244,0.11914532403299201,1.0
3,0.1292162644518928,0.1016808015440713,0.998
4,0.055525229041573455,0.06310561598986208,0.998
5,0.0312206706062713,0.04307789763289418,1.0
6,0.021098794332356688,0.03420221596020388,0.998
7,0.01563825465710104,0.023889482391916187,0.996
8,0.012289399803960613,0.01964581485910198,0.986
9,0.00948768426228546,0.013492647559309288,0.972
10,0.007971699818127575,0.011617638147537569,0.958
11,0.006865027720807869,0.009870397011326115,0.956
12,0.006524801547912302,0.010158163272823638,0.942
13,0.0058569565567260905,0.009078695516712946,0.91
14,0.004537957230472526,0.006590678486508174,0.878
15,0.0038838681105986613,0.005550604078199454,0.868
16,0.003615842699612425,0.005301768637030067,0.832
17,0.0026813841532665307,0.0047562226665979835,0.66
18,0.0023940835255272523,0.004343330430127169,0.652
19,0.0020740141059313187,0.003735338351516691,0.594
20,0.0016579100585802657,0.002745330982512468,0.552
21,0.0012327543003074583,0.0021589234215209957,0.474
22,0.0011593695858052363,0.0020102093795185336,0.424
23,0.000847555528104188,0.0017742108524111027,0.392
24,0.0006676396542317098,0.001505971143603313,0.336
25,0.0005001607344125781,0.0012044317584958436,0.268
26,0.00023581866838888623,0.0007899806945762587,0.27
27,0.00011683806251408002,0.00032230072997854904,0.222
28,5.788633280200497e-05,0.00018309936527865196,0.186
29,3.599398967318093e-05,0.0005162357894190545,0.146
30,3.6802290372826665e-05,0.0005255438136613641,0.142
