Severity,Mean,Std,Accuracy
1,0.9980975427627563,0.011709021034142333,0.998
2,0.6525913327336311,0.09530814248256844,0.998
3,0.28180755751411196,0.143758868610826,0.998
4,0.14404676278092665,0.13173104635310243,0.998
5,0.07889994929515524,0.11943005313525172,1.0
6,0.052986923333373855,0.10511160390429326,0.992
7,0.03463460158975795,0.09669505503163339,0.994
8,0.02647249250902678,0.0896183387198411,0.992
9,0.021633720592267282,0.08365563464154026,0.982
10,0.01962150524131721,0.07127472873181863,0.958
11,0.020776369787054137,0.06882207424243206,0.958
12,0.020086912250495515,0.06498084146748795,0.922
13,0.01901189504268041,0.058803018669273316,0.89
14,0.018445115183087182,0.05523462123349943,0.882
15,0.01460657272435492,0.05157464593537869,0.852
16,0.012750487618817715,0.05066057638992656,0.794
17,0.007711083789938129,0.042800539238123936,0.704
18,0.008101838684466203,0.04178004829980224,0.668
19,0.007018113065889338,0.042046547639209765,0.598
20,0.0063411071570153585,0.0390116991755925,0.524
21,0.0059666884215985195,0.03234862937717282,0.482
22,0.004404706839195569,0.029964687681844147,0.43
23,0.004052113865807769,0.029820418601029287,0.388
24,0.0037411648123597844,0.022867575230242066,0.306
25,0.0021113668998423234,0.018950430440415278,0.288
26,0.0005720789568321009,0.014459030010069327,0.264
27,-0.001171896756820577,0.009808706759228953,0.226
28,-0.001911109196186986,0.006773937206966607,0.192
29,-0.0005852549913291916,0.0016909729076978446,0.182
30,-5.2293521292432034e-05,0.0001789974206472577,0.154
