Severity,Mean,Std,Accuracy
1,0.8565175690626257,0.03829064616511494,0.986
2,0.6900651931605255,0.06477237499882532,0.975
3,0.6111102666045659,0.0640619075111025,0.956
4,0.5669696567203184,0.06109462352642741,0.989
5,0.5425338064671694,0.0576778139068246,0.938
6,0.5292104637962101,0.05382478247151631,0.922
7,0.5221669986946851,0.049069253855692545,0.867
8,0.5176524546340973,0.04488338951854906,0.904
9,0.5148271225632551,0.040985876995121115,0.81
10,0.5136079496734062,0.03841626010811041,0.744
11,0.5131607427587916,0.03670908823493218,0.659
12,0.5125488536794655,0.034401729414485514,0.674
13,0.511576339565797,0.03204792024194519,0.573
14,0.5103858291207587,0.030371147995222773,0.477
15,0.5094277594572212,0.028871028884625168,0.452
16,0.507909485716535,0.027421927852219828,0.358
17,0.5075329731501423,0.027196086531348806,0.308
18,0.5070490075684428,0.0265052365820651,0.276
19,0.5067859661778512,0.025341965233609032,0.249
20,0.5063434432019894,0.024137369784109665,0.211
21,0.5056191293978686,0.022749032802371037,0.152
22,0.5050493369285024,0.020830076410280216,0.144
23,0.5047251850944051,0.018237609795295748,0.134
24,0.5045711733263367,0.016882457253353758,0.176
25,0.5043836139090071,0.016481136545079576,0.105
26,0.5044348787531792,0.014429002707309398,0.099
27,0.5038014332914444,0.011620974491758628,0.099
28,0.5030543152184048,0.008617703515673602,0.099
29,0.5021483629320108,0.006093111928875128,0.099
